TERM	DOC_FREQUENCY	COLL_FREQUENCY	BYTE_OFFSET_PL
1940s	11	12	3282
1942	11	12	3289
1945	10	10	3310
1946	10	10	3315
1949â50	10	10	3332
1950s	12	12	3339
1951â1980	26	29	3346
1952	26	29	3353
1956	26	29	3360
1959	24	27	3385
1960s	24	27	3398
1962	24	27	3405
1963	24	27	3412
1964	25	28	3425
1965	25	28	3432
1966	25	28	3451
1968	29	32	3464
1969	29	32	3477
1970s	26	29	3502
1971	26	29	3509
1973	25	28	3540
1974	26	29	3547
1976	26	29	3554
1977	25	28	3573
1980	25	28	3590
1980s	25	29	3597
1981	26	29	3604
1982	25	28	3633
1983	25	28	3652
1985	25	28	3659
1986	25	28	3666
1987	25	28	3673
1988	25	28	3680
1989	25	28	3693
19891997	25	28	3706
199	25	28	3713
1990	26	29	3726
1991	28	32	3745
1994	26	30	3764
1995	27	33	3777
1996	27	31	3796
1997	28	32	3803
1999	27	31	3816
1999he	26	29	3835
19th	26	29	3842
19thcentury	25	28	3861
19âc	27	30	3874
1lip	27	30	3881
1mbps2mbps	43	50	3888
1rom	43	50	3895
1st	43	50	3902
1stmay	83	97	3939
1underpar	90	104	3946
2	95	109	3953
20	18	22	4520
200	19	24	4592
2000	21	26	4617
200000	15	18	4732
2000000	15	18	4739
2001	16	19	4746
2002	15	19	4777
2003	15	19	4796
2004	15	17	4821
2005	15	17	4852
2005t	16	18	4865
2006	17	20	4872
2007	18	21	4885
2008	18	23	4910
2009	19	23	4935
2010	21	25	4954
20102014	16	17	5057
2011	13	14	5088
2012	14	15	5107
20122016	15	18	5150
2013	16	17	5163
2014	17	18	5206
2015	19	19	5249
20150309t2142190400	17	17	5334
201559	17	17	5341
2015s	17	17	5348
2016	22	22	5355
20160115t1211180500	13	13	5474
2016firstever	14	14	5481
2016s	14	15	5488
2017	18	23	5501
201718	10	10	5580
2018	10	14	5587
2024	10	10	5606
2027	10	10	5619
2067	10	10	5626
207	10	10	5633
208344	10	10	5640
20hour	10	10	5647
20th	10	10	5654
20thcentury	10	10	5667
20thcrabgrass	10	10	5674
21	10	10	5681
2114	10	10	5706
2116	9	9	5719
212	9	9	5726
2140	9	9	5733
21740	9	9	5740
21946	9	9	5747
21st	9	9	5752
22	9	9	5759
222	10	11	5784
2226	10	11	5791
2228	10	11	5798
2231	10	11	5805
225	10	11	5812
2290	10	11	5819
22947	10	11	5826
22letter	9	9	5839
23	13	14	5846
230	13	14	5865
2316	13	14	5872
23255	16	17	5878
234	17	19	5885
2358	17	19	5892
2370	17	19	5899
238	17	19	5906
24	18	20	5913
243771	15	16	5986
2495	18	20	5993
2495here	18	20	6000
25	18	20	6007
25200	14	14	6074
26	14	14	6081
2608	14	14	6106
261	14	14	6113
2633	14	14	6120
268	14	14	6127
26yearold	14	14	6134
27	14	14	6141
270	14	14	6148
2731	14	14	6155
279000	15	15	6162
27937381	16	16	6169
28	16	17	6176
285	26	28	6207
29	28	30	6214
290	33	36	6239
292	33	35	6246
29444	33	35	6259
299	34	36	6266
2g	33	35	6279
2hour	34	36	6286
2nd	33	35	6299
2tension	47	50	6318
2âc6âc	55	60	6325
3	59	64	6338
30	13	15	6689
300	11	15	6738
3000	9	12	6781
30000	9	13	6788
300m	9	12	6801
3017972500	9	12	6808
3017976209	9	11	6815
301836	9	11	6822
30304	9	11	6829
3050	9	11	6836
30649	9	11	6843
31	9	11	6850
312010	10	11	6863
319th	10	11	6870
32	10	10	6877
320	9	10	6890
3250	9	10	6903
3301	10	11	6910
3303kb	10	11	6917
33095	10	11	6924
331	10	10	6931
332	10	10	6938
33315	10	10	6945
333667	10	10	6952
338	10	10	6959
33m	10	11	6966
34	12	13	6979
3430	11	12	7003
343569	11	12	7010
35	11	12	7017
350	11	11	7054
35000	12	12	7067
3516	12	12	7080
3557	12	12	7087
356m	12	12	7094
36	11	11	7107
360	11	11	7114
36238	11	11	7121
36355	11	11	7128
364	11	11	7135
37	11	11	7142
3750hour	13	13	7148
37âf	13	13	7155
38	12	12	7168
38053411	17	19	7187
3826	17	19	7194
39	21	23	7201
398108	21	23	7208
399	22	24	7215
3d	22	24	7222
3g	25	27	7229
3gp	26	28	7236
3gpp	26	28	7267
3movement	22	24	7298
3rd	22	25	7305
3rotary	33	36	7324
3yearold	33	36	7331
3âc	36	39	7338
3â	42	45	7351
4	47	50	7358
40	11	12	7639
400	10	11	7676
4000	13	14	7695
400s	12	13	7708
403124	12	13	7715
4055257431	12	13	7722
41	12	13	7729
4181906	12	13	7735
41880	12	13	7742
42	13	13	7749
43	11	11	7774
43000	11	11	7780
434	12	12	7787
4352	12	12	7794
437	13	14	7801
44	14	15	7808
443	13	14	7827
45	17	18	7834
45000	11	12	7895
4561st	11	12	7902
46	11	12	7909
470	11	12	7922
475	11	12	7929
48	11	12	7936
480	10	10	7961
487	16	16	7968
48hour	19	21	7975
49	19	21	7982
490	22	25	7989
49th	22	25	7996
4g	22	25	8003
4storey	22	25	8010
4th	23	26	8017
5	42	45	8036
50	13	14	8289
500	12	12	8354
5000	12	12	8391
50s	10	11	8422
51	11	12	8429
52	11	12	8436
520	11	11	8461
52086	13	13	8468
524000000	13	13	8475
525	13	13	8482
53	17	17	8489
53115	16	16	8514
537	16	16	8521
54	16	16	8528
540	14	15	8553
55	14	15	8560
55000	10	11	8591
553	10	10	8598
55333m	11	11	8605
57	10	10	8618
5794	13	20	8625
58	13	20	8632
5813100	13	20	8639
584	15	22	8646
587	17	28	8653
594	21	32	8660
5985	20	31	8671
5a	25	36	8690
6	28	39	8697
60	16	18	8836
600mb	16	17	8861
606	13	14	8886
6077	13	14	8893
609	13	14	8900
60s	14	20	8907
60â	12	17	8926
618	13	18	8933
62	13	15	8946
62134	13	15	8959
62473	12	14	8972
62959	13	15	8979
63	13	13	8992
63158	13	13	8999
63301	13	13	9012
63338	12	12	9025
63âf	12	12	9032
641	11	11	9045
642	15	15	9052
6445	15	15	9059
65	17	17	9066
654	14	15	9103
66	19	20	9110
66295	21	21	9117
6667	21	21	9124
66887	21	22	9131
67	21	22	9138
677	21	22	9145
6826	21	22	9152
684th	21	22	9159
687	21	21	9166
688	21	21	9173
69082	22	22	9180
69098	22	22	9193
7	23	23	9200
70	10	10	9321
700	11	11	9340
70000	10	10	9353
70693	10	10	9360
70778	10	10	9367
70â	10	10	9374
717	10	11	9381
72	10	11	9388
7250	10	11	9395
7254	10	11	9402
73	10	11	9409
730	10	11	9416
75	10	11	9423
7500	10	10	9436
75000	10	10	9443
75m	12	12	9450
75meter	12	12	9457
75meters	12	12	9464
765cm	12	12	9471
76908	12	12	9478
777	12	12	9485
7774	12	13	9492
78	16	20	9499
787	18	22	9506
79	20	24	9512
793826	20	23	9519
799	21	24	9526
7th	21	24	9533
7w	23	28	9552
7â8	27	32	9559
8	26	31	9572
80	11	12	9722
800	11	12	9741
800am	9	9	9760
800s	9	9	9767
80211	9	9	9774
80211a	9	9	9781
80211b	9	9	9788
80211g	9	9	9795
807107	9	9	9802
8086	9	9	9809
80â	9	9	9816
8125hour	9	9	9823
8237	9	9	9830
826	9	9	9837
8273	9	9	9844
83	9	10	9857
830930	9	10	9864
83431778	9	9	9871
836	9	9	9878
841	9	9	9885
84mm	9	9	9892
85	9	9	9899
8508733598	10	10	9912
852	10	10	9919
8570w	11	11	9932
8777899501	13	13	9939
88	13	13	9946
881819851	13	13	9952
8965	14	14	9959
899	15	15	9966
8th	14	14	9979
8â	14	14	9992
9	15	15	9999
90	14	14	10060
900	13	13	10108
90000	13	13	10121
907	13	13	10128
908666	13	13	10135
90mm	13	13	10142
91	13	13	10149
93	13	13	10156
931	10	10	10181
94	11	12	10187
940	11	12	10194
948	11	12	10201
95	11	12	10208
9516	11	11	10225
95336	11	11	10232
95337	11	11	10239
95th	11	11	10246
96	12	12	10259
9600	11	11	10278
96102	11	11	10285
97000	11	12	10292
9758	11	11	10299
98	11	11	10306
986	11	11	10313
98th	11	11	10320
99	12	13	10333
9932241	12	13	10346
9932631	12	13	10353
9932719	12	13	10360
9971005	12	13	10367
9971351	12	13	10374
9979133	12	13	10381
9981220	12	13	10388
9under	12	13	10395
a9to4	12	13	10402
aas3s	12	13	10409
abandoning	12	13	10416
abb	12	13	10423
abbey	12	13	10430
abbreviated	12	13	10437
abc	12	13	10444
abdomen	12	13	10451
abdominal	13	14	10462
abiding	11	12	10478
abilities	12	13	10485
ability	12	13	10492
able	23	30	10546
abm	54	67	10607
abnormal	60	74	10614
about	73	87	10626
above	15	18	11059
aboveâ	9	10	11138
absence	9	9	11145
absolutely	9	9	11152
absorb	9	10	11159
absorbed	10	11	11166
absorption	10	11	11173
abundance	10	10	11180
abvs	10	10	11187
academic	10	10	11194
academics	10	10	11218
academy	11	11	11225
accent	10	10	11236
accept	10	10	11243
acceptance	10	10	11250
accepted	11	11	11257
access	12	12	11275
accessible	13	13	11294
accessing	12	12	11313
accessories	12	13	11320
accident	14	15	11327
accidental	14	14	11334
accommodation	18	19	11341
accompanied	17	18	11360
accompaniment	18	19	11367
accompanying	20	21	11374
accomplished	20	21	11381
accomplishes	20	21	11393
according	24	25	11400
accordingly	12	12	11514
account	12	12	11521
accountability	16	24	11558
accounted	16	24	11564
accounts	16	24	11570
accreditation	15	17	11595
accredited	15	17	11602
accreditor	15	17	11609
accross	15	17	11616
accuplacer	17	20	11623
accuracy	20	23	11648
accurate	20	23	11655
acetaminophen	20	23	11662
ache	15	17	11705
achieve	14	17	11724
achieved	16	20	11737
achievement	14	17	11759
acid	19	22	11764
acids	20	24	11813
acronyms	18	21	11834
across	18	21	11841
acs	16	19	11884
act	14	17	11909
acting	11	12	11956
action	11	12	11969
actionpacked	15	16	12000
active	15	16	12007
activist	13	13	12049
activities	13	13	12056
activity	9	12	12111
activitybased	11	15	12136
actor	12	14	12149
actors	12	15	12156
actress	12	13	12163
actresses	11	13	12182
acts	13	15	12189
actual	11	12	12219
actually	14	15	12248
actuarial	11	12	12315
acv	11	12	12322
ad	11	12	12329
ada	9	9	12353
adam	11	11	12360
adamus	12	12	12373
adapt	12	12	12380
adaptation	12	12	12393
adapted	12	12	12400
adapting	12	12	12407
adc	12	12	12414
add	13	13	12421
added	13	13	12446
adding	14	14	12489
addition	13	13	12502
additional	15	15	12515
additionally	17	19	12534
address	16	18	12552
addresses	9	11	12631
adds	9	9	12644
adduced	9	9	12657
adequately	9	9	12664
adjacent	10	10	12671
adjuster	10	10	12683
adjusting	10	10	12690
adjustment	10	10	12697
administration	9	9	12710
administrative	10	12	12733
admissibility	10	12	12740
admissible	10	12	12747
admission	10	11	12754
admissionplacement	10	11	12761
admissions	10	11	12768
admits	11	11	12781
admittance	11	11	12788
adopt	11	11	12795
adopted	11	12	12802
adoption	11	12	12809
adopts	11	12	12816
adr	11	12	12823
adult	11	12	12829
adultonset	12	12	12841
adults	12	13	12854
adults1	11	11	12908
advance	11	11	12915
advanced	12	13	12922
advancedâbegin	12	13	12935
advances	12	13	12942
adventure	13	14	12949
adventurer	14	15	12974
advertisements	14	15	12981
advertising	15	17	12994
advice	14	16	13005
advocate	13	14	13024
advocated	11	12	13043
advocates	11	13	13050
aesthetic	11	13	13056
aestivum	11	13	13062
aetiologyombination	11	13	13068
affairs	11	13	13074
affect	11	13	13087
affected	14	15	13117
affects	18	20	13140
affiliated	18	19	13170
affluent	23	25	13188
affordable	28	30	13195
afghanistan	32	34	13214
afraid	38	41	13221
african	45	48	13228
after	52	56	13241
aftertaste	20	23	13550
again	21	24	13557
against	23	27	13635
age	31	38	13701
aged	13	15	13882
agencies	14	16	13889
agency	14	16	13902
agents	14	15	13921
agere	14	15	13928
ages	14	15	13935
aggregate	15	19	13942
aging	15	19	13949
ago	14	18	13962
agohow	18	22	14011
agrafa	18	22	14018
agree	18	22	14025
agreed	18	22	14032
agreement	21	26	14057
agreements	19	23	14082
agricultural	18	22	14095
agriculture	18	23	14130
ahead	19	25	14137
aid	18	24	14156
aids	15	23	14198
aim	15	23	14210
aimed	15	23	14216
aimee	16	24	14222
air	15	23	14235
aircraft	15	17	14278
airline	15	17	14285
airplane	15	16	14292
airport	15	16	14299
airportnearby	16	18	14336
airway	16	18	14343
aitutaki	17	20	14350
ak	17	20	14357
al	18	21	14364
alabama	28	31	14389
alain	26	29	14412
alamos	26	29	14419
alan	26	29	14424
alaska	26	29	14431
alaskabased	23	25	14480
albemarle	23	25	14487
alberta	22	24	14500
alcohol	22	24	14507
alcoholism	33	38	14519
alcohols	35	41	14525
alex	33	38	14541
algebra	43	50	14560
alhe	41	47	14579
aliases	48	56	14585
align	54	63	14592
alive	63	75	14599
alivehe	72	86	14612
alkali	72	87	14619
alkaloid	75	90	14626
alkaloids	75	89	14633
all	85	100	14640
allamerican	12	13	15144
allergic	12	13	15151
alliance	13	14	15158
allnew	13	14	15165
allowed	13	14	15172
allows	13	15	15185
allpurpose	11	12	15216
almost	16	18	15223
alone	14	15	15272
along	19	21	15291
alongside	23	28	15388
alpata	23	28	15395
alphabet	24	34	15402
alphabetically	23	28	15415
alphanumeric	33	38	15422
alpine	33	38	15429
already	36	37	15454
also	100	102	15484
altering	11	13	16070
alternate	12	14	16077
alternatively	13	15	16090
although	13	15	16097
aluminum	13	16	16134
always	13	15	16147
am	15	16	16195
amadeus	19	29	16262
amateur	19	30	16269
amazeballs	23	33	16281
amazing	23	33	16288
amazon	24	34	16294
amazoncom	16	18	16355
amazoncomtransparentprime	14	17	16380
amazons	15	18	16387
ambassador	17	22	16400
amber	18	23	16407
amc	20	25	16424
amell	20	23	16431
amended	20	24	16438
amenities	26	31	16445
america	30	39	16458
americaalaska	27	29	16552
american	30	32	16559
americanorthern	9	10	16722
americans	9	10	16729
americas	9	11	16747
americaâs	10	12	16754
amid	11	13	16761
amide	11	13	16766
amidst	11	14	16773
ammonia	11	13	16780
ammonium	11	13	16787
among	11	13	16794
amongst	13	17	16819
amount	15	19	16825
amounted	13	14	16889
amounts	13	14	16896
amplify	16	18	16909
amsterdam	15	18	16928
amt	14	16	16947
amzn	14	16	16954
anal	12	15	16973
analysis	13	16	16980
anatomic	11	13	16996
anatomical	11	13	17003
ancestors	12	15	17010
ancestries	12	15	17017
ancestry	12	15	17024
anchor	13	16	17031
ancient	13	16	17038
andes	11	14	17068
andor	11	13	17075
andrade	14	16	17094
angel	14	16	17101
angeles	13	15	17114
angelic	16	24	17133
angell	18	25	17158
angels	18	24	17164
angelsnochian	14	15	17201
anger	13	15	17214
angie	11	13	17233
anglosaxon	19	21	17240
angrier	18	20	17253
angus	18	20	17260
animal	21	24	17267
animals	21	24	17273
anisocoria	22	25	17285
anna	22	25	17292
anniversary	23	26	17299
announced	22	25	17312
annoying	28	36	17319
annual	32	40	17332
annually	22	23	17458
anothen	23	24	17465
another	23	24	17472
anothers	17	21	17610
answer	20	25	17623
answered	14	21	17732
answers	15	22	17739
antagonist	14	19	17752
antarctic	14	19	17758
antarctica	14	18	17765
antarcticathe	14	18	17772
antediluvian	15	19	17779
antenna	25	30	17786
antennas	26	31	17793
antennasearch	26	29	17806
anterior	25	28	17819
anteriorly	24	27	17832
anticipated	26	30	17839
antiderivative	26	30	17845
antietam	30	34	17852
antigens	30	34	17859
antonin	32	36	17865
antonio	34	43	17902
antonã­n	36	44	17909
ants	34	41	17933
anxiety	34	41	17940
any	34	41	17953
anyall	17	19	18144
anymore	16	18	18157
anymorehow	15	17	18170
anyone	16	18	18177
anything	14	16	18208
anywhere	13	15	18233
aorta	11	14	18270
ap	10	13	18281
apart	10	14	18288
apartments	11	14	18301
apologies	11	14	18308
app	11	14	18314
appalachian	11	13	18321
apparent	11	13	18328
apparently	11	13	18335
appeal	11	13	18342
appeals	11	14	18349
appear	11	14	18356
appearance	10	13	18393
appearances	10	13	18400
appeared	13	17	18407
appearing	15	18	18450
appears	15	18	18457
appliance	15	20	18500
appliances	11	13	18543
applicable	12	13	18550
applicant	11	12	18569
applicants	11	12	18576
application	11	12	18595
applications	11	14	18620
applied	13	19	18639
apply	25	48	18664
applying	21	32	18725
appointments	19	28	18750
apportionment	19	28	18756
appraisal	21	30	18763
appraisals	12	13	18824
appraiser	12	13	18831
appraisers	15	17	18838
appreciable	12	13	18863
appriaser	12	13	18870
approach	12	14	18877
approaches	15	17	18889
appropriate	15	17	18896
approval	14	16	18921
approved	15	17	18928
approximate	15	17	18947
approximately	15	16	18960
apps	17	21	19009
appurtenances	18	22	19016
apr	18	22	19029
april	19	24	19036
aprilor	17	22	19083
aps	17	22	19089
aptly	17	21	19102
arabian	17	21	19109
arbitrary	17	21	19116
arc	27	33	19123
archaeology	34	42	19130
archduke	34	42	19137
archdukes	29	35	19186
arches	28	34	19205
architectural	32	50	19212
arcs	34	57	19219
arctic	34	57	19226
area	43	53	19275
arealarger	19	23	19533
areas	20	24	19540
arent	15	17	19627
arenât	19	26	19634
argue	21	29	19641
argued	29	40	19660
arguments	28	39	19673
arkansas	28	40	19680
arm	30	42	19693
armies	32	43	19724
armour	32	43	19737
armpit	32	43	19744
armpits	26	33	19787
armpitâ	26	33	19794
armstrongthe	26	33	19801
army	26	34	19808
aroma	24	32	19838
around	26	33	19851
arranged	11	13	19982
arrangement	13	18	19989
arrived	13	18	20001
arrives	12	17	20014
arriving	12	17	20021
art	12	17	20028
arterial	14	19	20041
arteries	13	15	20060
artery	11	13	20085
article	11	12	20098
articles	14	15	20129
articular	14	16	20142
articulates	14	16	20148
artificial	14	16	20154
arts	14	16	20161
arturo	16	19	20173
ascension	16	19	20179
asia	15	23	20216
asia3	10	10	20271
asia465	10	10	20278
asian	10	10	20285
asiasiberia	11	11	20298
ask	12	12	20305
asked	11	11	20342
asks	12	12	20355
aspiration	12	12	20362
assasination	11	11	20375
assassin	10	10	20388
assassinated	10	11	20395
assassins	10	10	20402
assault	10	10	20409
assembling	11	11	20415
assertion	11	11	20422
assess	11	11	20429
assessment	13	14	20442
asset	13	14	20449
assign	13	14	20456
assigned	11	11	20475
assignmentlast	14	16	20482
assist	14	16	20489
assistance	20	22	20514
assistant	18	21	20545
assistants	15	18	20570
assistantships	15	18	20577
assistantâs	16	20	20584
assisting	16	20	20591
assists	14	18	20622
associate	14	18	20629
associated	14	17	20636
associateâs	13	16	20666
association	13	16	20673
assumed	11	13	20710
assuming	11	13	20717
assure	11	13	20724
assured	11	13	20730
asthma	11	13	20736
astrologer	11	14	20743
ate	11	13	20750
athlete	13	15	20757
atiu	13	15	20764
atlanta	13	15	20771
atlantic	12	13	20790
atm	18	21	20820
atomic	18	20	20827
atoms	12	13	20874
atomssubatomic	11	12	20887
attached	11	12	20894
attaches	11	12	20907
attacks	11	12	20914
attempt	10	11	20925
attempted	10	11	20948
attempting	10	11	20955
attempts	10	11	20968
attend	10	11	20975
attendance	12	13	20988
attended	11	12	21007
attitude	12	14	21014
attract	11	13	21027
attractions	11	13	21034
attributed	10	11	21047
audio	10	11	21054
august	10	12	21061
augustine	10	13	21092
australia	10	13	21099
austria	10	13	21105
austrian	10	13	21112
austrohungarian	12	15	21125
authentic	10	14	21144
author	11	15	21151
authorities	12	18	21176
authority	14	23	21183
auto	12	18	21202
autoimmune	16	31	21208
automated	14	21	21234
automatically	14	20	21241
autonomic	18	25	21260
autonomy	18	24	21267
autopsies	22	28	21274
autopsy	22	27	21281
autumn	22	28	21288
available	21	25	21310
avengers	36	60	21368
avenue	45	76	21375
average	43	73	21394
averages	30	36	21647
avery	34	41	21660
avi	33	40	21673
aviv	29	36	21704
avoid	29	36	21711
award	30	37	21718
awards	29	36	21731
away	26	32	21762
axis	19	25	21864
axle	20	26	21871
axles	21	26	21878
az	20	25	21891
b	21	26	21898
b600mb5	20	24	21949
baby	21	26	21956
babylon	21	26	22005
babyâ	21	26	22012
baca	21	26	22019
bachelor	22	27	22038
bachelors	23	28	22044
bachelorâs	25	31	22057
back	27	33	22064
background	19	28	22177
bacteria	19	28	22184
bacterial	19	28	22191
bad	19	28	22204
bag	21	25	22246
bagpipes	22	30	22271
bagpipeswere	22	30	22278
bags	22	29	22285
bahia	21	26	22310
bakers	20	24	22323
balance	21	25	22330
balanced	22	26	22349
ban	22	28	22362
bands	22	28	22369
bangladesh	21	27	22382
bank	14	19	22431
banking	14	16	22443
banks	14	16	22450
banned	15	18	22457
banner	21	27	22464
bar	15	18	22507
barbarian	16	19	22520
barbarians	16	19	22527
bargain	16	19	22534
bariatric	16	19	22541
barley	24	35	22547
baron	17	20	22593
baroreceptors	17	20	22606
barren	19	23	22613
barrier	18	20	22626
bars	19	21	22633
bartow	19	21	22646
base	19	21	22653
baseball	22	25	22666
based	22	24	22685
bases	17	17	22787
basic	17	17	22794
basically	9	9	22878
basics	9	10	22891
basis	10	12	22916
baskets	13	15	22923
bass	14	16	22930
batch	11	14	22961
batman	11	14	22968
baton	11	14	22975
batting	10	13	22988
battle	10	13	22995
battlefield	9	11	23008
baxter	9	10	23021
baxters	9	9	23028
bay	9	9	23035
bbc	9	10	23060
bbe	10	11	23067
bc	10	11	23074
beach	15	26	23081
beaches	14	21	23124
beacons	13	16	23161
beaconsfield	13	16	23168
bear	13	16	23175
bearing	13	16	23188
beastâ	13	16	23195
beat	13	16	23202
beating	13	16	23209
beats	13	17	23216
beatty	10	13	23247
beattys	10	12	23254
beautiful	11	13	23261
beauty	12	13	23274
became	12	13	23287
because	16	17	23353
become	18	20	23448
becomes	26	27	23520
becoming	28	29	23533
bedrich	29	30	23564
bedroom	30	31	23571
bedrooms	29	30	23584
bedtime	32	33	23591
beef	34	35	23598
been	48	54	23605
beer	25	35	23889
beethoven	28	37	23907
beethovens	28	37	23914
before	29	38	23921
beforehandâ¦and	11	12	24093
beg	11	13	24100
began	12	14	24107
begin	15	21	24166
beginner	16	19	24185
beginners	17	20	24192
beginning	16	19	24205
begins	15	18	24235
behalf	15	18	24258
behave	14	17	24271
behavioral	14	17	24284
behaviour	17	21	24291
behind	17	21	24297
beijing	20	27	24316
being	20	24	24323
belgian	26	30	24425
believe	25	29	24444
believed	24	28	24505
believing	24	28	24512
belong	26	30	24519
below	27	32	24526
bend	24	25	24687
beneath	24	25	24693
benefit	23	24	24712
benefits	28	30	24749
bengal	23	25	24816
bengali	23	25	24823
berger	24	27	24830
bert	27	30	24837
berthing	34	39	24844
berths	34	38	24857
beside	34	39	24870
besides	33	39	24895
best	33	39	24901
best1	22	28	25093
besterman	22	28	25100
bestknown	22	29	25107
beta	22	29	25114
better	30	41	25120
betterhat	35	46	25169
betterhen	37	48	25176
betty	36	47	25189
between	36	46	25196
beverage	16	20	25398
beverages	15	17	25417
beyond	15	17	25423
bezirksschornsteinfegermeister	14	16	25436
bho	16	18	25443
bible	25	35	25450
biblica	25	34	25457
biblical	25	34	25463
bibliophile	24	33	25476
bien	24	33	25483
big	24	34	25490
bigger	26	56	25568
biggest	29	58	25581
bile	29	58	25588
biliary	27	44	25624
bilirubin	23	35	25650
bill	23	35	25656
billhb	14	19	25728
billion	15	20	25735
bills	13	18	25754
bind	12	17	25767
binding	12	17	25774
bindings	13	18	25781
binds	12	14	25806
bingewatching	11	13	25819
bio	11	13	25826
biogenesis	12	14	25839
biography	12	14	25845
biological	12	14	25852
biome	13	16	25865
birds	15	17	25890
birthday	15	16	25897
bistro	14	15	25910
bit	14	15	25917
bite	13	14	25936
bittle	18	22	25955
biwta	18	22	25962
bixby	17	21	25981
black	17	21	25994
bladder	20	39	26061
blanket	21	40	26073
blazer	21	40	26080
bleed	21	40	26087
blend	24	44	26094
blends	23	42	26107
blisters	23	42	26114
block	20	38	26139
blockade	28	54	26152
blocks	28	54	26159
blood	28	54	26172
bloodier	12	14	26315
bloom	11	12	26334
blooms	12	16	26341
blow	11	11	26354
blowing	12	13	26361
bls	12	13	26368
blue	14	16	26375
bluetooth	14	16	26382
blunt	15	17	26389
blurred	15	17	26396
bmi	15	17	26403
board	17	19	26410
boards	13	14	26489
boasts	15	16	26506
boaz	15	16	26513
bob	16	17	26520
bodily	17	18	26539
body	18	19	26552
bodys	12	13	26615
bodyâs	12	13	26621
bohemia	13	14	26633
bohemian	13	14	26646
boiling	17	18	26665
boils	17	19	26696
bolus	17	19	26709
bomb	16	18	26728
bombs	14	16	26757
bombshell	12	15	26770
bond	13	16	26777
