00	618:1 
000	619:4 678:1 695:1 
1	611:1 619:1 621:1 637:1 644:1 652:2 654:2 656:1 657:1 690:2 691:5 692:2 693:2 695:2 696:1 
10	616:1 644:1 653:1 654:2 
100	637:1 
102	620:1 621:1 
108	633:1 
11	654:3 
11â13	649:1 658:1 
125	617:1 
13	653:1 
131	614:1 
140	633:1 
145th	649:1 658:1 
15	612:1 
1527	668:2 
1555	668:2 
1597	668:2 
15th	649:1 658:1 
16	643:1 
1608	668:2 
16th	659:1 660:1 668:2 
17th	688:1 
1909	634:1 
1959	619:1 
1968	619:1 625:1 
1988	664:1 
1st	634:1 
2	619:1 621:1 633:2 642:1 645:1 648:2 652:1 654:1 656:1 657:2 689:2 691:6 692:5 693:1 695:2 
20	613:1 618:1 695:1 
2000	634:1 
2001	619:1 
2004	634:1 637:1 
2008	634:1 
2009	628:1 
2010	637:1 652:1 678:1 
2016first	645:1 
2017	643:2 
23	643:1 
2370	611:1 
24	695:1 
25	612:1 615:1 
26	623:1 
29	626:1 
3	623:1 633:1 654:1 657:1 692:2 693:1 
30	618:1 695:1 
300	669:1 
303kb	633:1 
35	655:1 
36	615:1 
37	610:1 
4	645:1 657:1 692:1 
400	669:1 
48	613:1 651:1 656:1 
5	610:1 635:1 678:1 
50	610:1 618:1 
52	634:1 
522	649:1 658:1 
53	634:1 
532	654:1 
66	614:1 
75	653:1 
7â8	649:1 658:1 
8	652:1 
80	616:1 650:1 
800s	611:1 
81	615:1 
829	654:1 
836	652:1 
894	654:1 
903	654:1 
952	654:1 
95th	649:1 658:1 
96	651:1 656:1 657:1 
98th	649:1 658:1 
about	629:2 631:4 638:2 653:1 659:1 671:1 683:1 
access	655:1 
accessible	641:1 647:1 
according	652:1 661:1 667:1 
accounts	626:1 
ach	637:1 
act	611:1 615:1 
action	622:1 671:2 685:1 
active	640:1 641:1 647:1 694:2 
activities	653:1 
actual	674:1 
actually	666:1 
adapted	625:1 
add	674:1 
additional	610:1 
address	630:1 645:1 
administrative	678:1 
adopt	678:1 
adopts	623:1 
adult	639:2 642:1 648:1 
adults	639:1 644:2 
advanced	616:1 
adventure	623:1 624:1 
advertisements	612:1 640:1 
affects	639:1 695:1 
affluent	618:1 
affordable	641:1 647:1 
afghanistan	627:1 
after	627:1 663:1 666:1 672:2 678:1 698:1 
against	659:1 661:1 665:2 684:1 
age	616:1 626:2 647:1 695:1 
agencies	645:1 
agency	671:1 
ago	632:2 635:2 
agree	675:1 
agreed	678:1 
aimee	620:1 621:1 
airport	655:1 
al	634:1 
alive	655:1 
all	636:2 649:1 652:1 658:1 680:1 683:1 687:1 694:2 
along	649:1 658:1 689:1 690:1 695:1 697:2 
alpata	653:1 
alphabet	667:1 668:6 
already	633:1 
also	622:1 629:1 682:1 684:1 690:1 695:1 
although	613:1 662:2 698:1 
am	611:1 673:1 677:1 
amazon	610:1 
amc	674:3 
amell	627:1 
among	645:2 
